Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
LTibia,0.00871615452931657,0.00950477147371461,0.0161131420556068,0,0,0,0.00392507523860521,3.5728723273722E-07,-9.73235865879488E-10,7.57556321212643E-12,4.51580439615844E-07,-7.14725202870015E-10,7.96047369466916E-07,0,0,0,0,0,0,package://NUBI_V5/meshes/LTibia.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBI_V5/meshes/LTibia.STL,,DSR-0101-5;DRJ-0001-9;DRJ-0001-8;DRB-0005-3;DRB-0008-4,Origin_LKnee_pitch,Axis11,LKnee_pitch,revolute,-0.009943,0.077314,-0.026591,-3.1416,-1.5626,1.5708,LFemur,-1,0,0,1.2,6.3,-2.79,2.79,,,,,,,,
LAnkle,0.0215347444963168,0.0145885791782529,-0.0048829429251686,0,0,0,1.7024684437713E-07,4.81320163952613E-15,-5.27299733745302E-19,1.53704160000842E-17,5.58786308251865E-15,-4.61641554686221E-21,5.58755843369287E-15,0,0,0,0,0,0,package://NUBI_V5/meshes/LAnkle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBI_V5/meshes/LAnkle.STL,,L-two motor-2/DSR-0101-5;L-two motor-2/DSR-0101-4,Origin_LAnkle_pitch,Axis12,LAnkle_pitch,revolute,0.013308,0.00225,0.051424,-3.1416,-1.559,3.1416,LTibia,-1,0,0,1.2,6.3,-2.79,2.79,,,,,,,,
LFoot,-0.000153547931316708,0.0390781678973347,1.56251835914389E-08,0,0,0,0.0107696045359164,2.38035548898604E-06,1.26932971278988E-09,5.18295196367744E-12,9.6621586930304E-06,-4.96827124024057E-13,7.29965318111971E-06,0,0,0,0,0,0,package://NUBI_V5/meshes/LFoot.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://NUBI_V5/meshes/LFoot.STL,,DRB-0010-4;DRB-0003-2,Origin_LAnkle_roll,Axis13,LAnkle_roll,revolute,0.015506,0.0088335,-0.013867,-1.5796,-1.5503,0,LAnkle,0,0,-1,1.2,6.3,-2.79,2.79,,,,,,,,
chest,0.0237249897108021,-0.00226285767837158,0.000103876383980676,0,0,0,0.019754850289291,1.35726363313462E-05,2.01706703132978E-09,7.19427440818698E-13,2.95518232438337E-06,-3.53804812374046E-10,1.64927734681762E-05,0,0,0,0,0,0,package://NUBI_V5/meshes/chest.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBI_V5/meshes/chest.STL,,DSR-0101-6;DRJ-0001-5;DRJ-0001-25;DRB-0001-3;DRB-0001-4;DRS0101_part_sideConnectors-1;DRJ-0001-11;DSR-0101-9;DRJ-0001-28;DRJ-0001-12;DRJ-0001-27;DRJ-0001-6;DRJ-0001-26;DRJ-0001-24,Origin_core,Axis1,core,revolute,0,-0.046578,0.028478,0,-1.5706,-1.5708,base_link,0,-1,0,1.2,6.3,-2.79,2.79,,,,,,,,
RShoulder,-0.00131251801905741,-0.00856617061476234,-7.4121992016396E-09,0,0,0,0.00373121795815296,4.74187701709522E-07,-9.74216465073023E-08,-4.78831229084864E-13,1.03498980667421E-06,-6.08479255711893E-14,1.16229790204738E-06,0,0,0,0,0,0,package://NUBI_V5/meshes/RShoulder.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://NUBI_V5/meshes/RShoulder.STL,,DRB-0009-2,Origin_RShoulder_pitch,Axis14,RShoulder_pitch,revolute,0.036528,-0.075021,5E-05,-3.1416,-1.5622,3.1416,chest,0,-1,0,1.2,6.3,-2.79,2.79,,,,,,,,
RHumerus,-0.0474046769456795,0.00220517659340066,0.000688160199369403,0,0,0,0.00754330562120905,1.35059258913153E-06,1.98589890880013E-12,9.74682773418354E-08,1.32836078103108E-06,3.65779121770837E-11,6.41156971559716E-07,0,0,0,0,0,0,package://NUBI_V5/meshes/RHumerus.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBI_V5/meshes/RHumerus.STL,,DSR-0101-8;DRB-0009-4;DRB-0004-2;DRB-0004-1;DRJ-0001-15;DRJ-0001-16;DRJ-0001-14;DRJ-0001-17,Origin_RShoulder_roll,Axis15,RShoulder_roll,revolute,0,-0.0215,0,0,1.5708,-1.5708,RShoulder,0,-1,0,1.2,6.3,-2.79,2.79,,,,,,,,
RForearm,-0.00451109742738925,0.016524999998887,0.00232500000802609,0,0,0,8.51234221885587E-08,2.40644845183363E-15,-5.27146857627141E-19,-2.53201239416612E-28,3.18141465089562E-15,3.72235945462445E-25,2.40644845183364E-15,0,0,0,0,0,0,package://NUBI_V5/meshes/RForearm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBI_V5/meshes/RForearm.STL,,DSR-0101-11,Origin_RElbow_pitch,Axis16,RElbow_pitch,revolute,-0.067878,0.00225,0,-1.5708,0,0,RHumerus,0,-1,0,1.2,6.3,-2.79,2.79,,,,,,,,
LShoulder,-0.00131251793049283,-0.00856617075058032,-7.4528408583463E-09,0,0,0,0.00373121799749922,4.74187710433775E-07,-9.74216438686651E-08,-4.7892525892785E-13,1.03498981091377E-06,-6.25540014454998E-14,1.16229791550356E-06,0,0,0,0,0,0,package://NUBI_V5/meshes/LShoulder.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://NUBI_V5/meshes/LShoulder.STL,,DRB-0009-3,Origin_LShoulder_pitch,Axis17,LShoulder_pitch,revolute,0.036528,0.070779,5E-05,0,-1.5622,3.1416,chest,0,-1,0,1.2,6.3,-2.79,2.79,,,,,,,,
LHumerus,-0.047404905846798,0.00210882683656839,-0.00061519760680967,0,0,0,0.0075433225688273,1.35058863483033E-06,-9.12738289560018E-14,-9.74140049944195E-08,1.32836079504816E-06,-4.5023197662771E-13,6.4116110480283E-07,0,0,0,0,0,0,package://NUBI_V5/meshes/LHumerus.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBI_V5/meshes/LHumerus.STL,,DSR-0101-10;DRJ-0001-19;DRJ-0001-18;DRJ-0001-20;DRB-0004-3;DRB-0004-4;DRB-0009-5;DRJ-0001-21,Origin_LShoulder_roll,Axis18,LShoulder_roll,revolute,0,-0.0215,0,1.5708,-1.5708,0,LShoulder,0,-1,0,1.2,6.3,-2.79,2.79,,,,,,,,
LForearm,-0.00451109742745594,0.0165750000002262,0.002324999998373,0,0,0,8.51234221885641E-08,2.4064484518338E-15,-5.27146860720707E-19,5.45808546239343E-29,3.18141465089587E-15,-8.02412798730008E-26,2.40644845183379E-15,0,0,0,0,0,0,package://NUBI_V5/meshes/LForearm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBI_V5/meshes/LForearm.STL,,DSR-0101-12,Origin_LElbow_pitch,Axis19,LElbow_pitch,revolute,-0.067878,0.00215,0,1.5708,0,0,LHumerus,0,-1,0,1.2,6.3,-2.79,2.79,,,,,,,,
