Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
LTibia,-0.0173120228873035,0.00260477147371434,0.0161131420556066,0,0,0,0.00392507523860521,3.57287232737218E-07,-9.73235865878929E-10,7.57556321216367E-12,4.51580439615843E-07,-7.147252028704E-10,7.96047369466914E-07,0,0,0,0,0,0,package://NUBIV4/meshes/LTibia.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBIV4/meshes/LTibia.STL,,DSR-0101-5;DRJ-0001-9;DRJ-0001-8;DRB-0005-3;DRB-0008-4,Origin_LKnee_pitch2,Axis11,LKnee_pitch,revolute,0,0.088,0.0117,-2.794,-1.5708,1.2232,LFemur,0,1,0,1.2,6.3,-2.79,2.79,,,,,,,,
LAnkle,-0.00449343292030352,0.00928857917825272,-0.00488294292516624,0,0,0,1.70246844377126E-07,4.81320163952594E-15,-5.27299733767046E-19,1.53704160000801E-17,5.58786308251843E-15,-4.61641554304117E-21,5.5875584336926E-15,0,0,0,0,0,0,package://NUBIV4/meshes/LAnkle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBIV4/meshes/LAnkle.STL,,L-two motor-2/DSR-0101-5;L-two motor-2/DSR-0101-4,Origin_LAnkle_pitch2,Axis12,LAnkle_pitch,revolute,-0.013028,0,0.07745,-3.1416,-1.559,3.1416,LTibia,0,-1,0,1.2,6.3,-2.79,2.79,,,,,,,,
LFoot,-0.0135837238910629,0.028811856690581,0.00344363344977459,0,0,0,0.0107696045359165,2.38035548898604E-06,1.2693297127951E-09,5.18295195337904E-12,9.66215869303042E-06,-4.96827122301971E-13,7.29965318111973E-06,0,0,0,0,0,0,package://NUBIV4/meshes/LFoot.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://NUBIV4/meshes/LFoot.STL,,DRB-0010-4;DRB-0003-2,Origin_LAnkle_roll2,Axis13,LAnkle_roll,revolute,0,0,0,-1.5796,-1.5503,0,LAnkle,1,0,0,1.2,6.3,-2.79,2.79,,,,,,,,
chest,0.0237249897108021,-0.00161285767837157,0.000103876383980663,0,0,0,0.019754850289291,1.35726363313461E-05,2.01706703132909E-09,7.1942744093926E-13,2.95518232438337E-06,-3.53804812374107E-10,1.64927734681762E-05,0,0,0,0,0,0,package://NUBIV4/meshes/chest.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBIV4/meshes/chest.STL,,DSR-0101-6;DRJ-0001-5;DRJ-0001-25;DRB-0001-3;DRB-0001-4;DRS0101_part_sideConnectors-1;DRJ-0001-11;DSR-0101-9;DRJ-0001-28;DRJ-0001-12;DRJ-0001-27;DRJ-0001-6;DRJ-0001-26;DRJ-0001-24,Origin_core2,Axis1,core,revolute,0,-0.046578,0.028478,0,-1.5706,-1.5708,base_link,0,-1,0,1.2,6.3,-2.79,2.79,,,,,,,,
RShoulder,-0.00131251801905741,-0.00856617061476235,-7.4121992016396E-09,0,0,0,0.00373121795815298,4.74187701709523E-07,-9.74216465073022E-08,-4.78831228136915E-13,1.03498980667421E-06,-6.08479258745578E-14,1.16229790204739E-06,0,0,0,0,0,0,package://NUBIV4/meshes/RShoulder.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://NUBIV4/meshes/RShoulder.STL,,DRB-0009-2,Origin_RShoulder_pitch2,Axis14,RShoulder_pitch,revolute,0.036528,-0.073721,5E-05,-3.1416,-1.5622,3.1416,chest,0,-1,0,1.2,6.3,-2.79,2.79,,,,,,,,
RHumerus,-0.0474046769456795,0.00155517659340047,0.000688160199369223,0,0,0,0.00754330562120907,1.35059258913153E-06,1.98589890930802E-12,9.74682773418352E-08,1.32836078103108E-06,3.65779121777481E-11,6.41156971559717E-07,0,0,0,0,0,0,package://NUBIV4/meshes/RHumerus.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBIV4/meshes/RHumerus.STL,,DSR-0101-8;DRB-0009-4;DRB-0004-2;DRB-0004-1;DRJ-0001-15;DRJ-0001-16;DRJ-0001-14;DRJ-0001-17,Origin_RShoulder_roll2,Axis15,RShoulder_roll,revolute,0,-0.0215,0,0,1.5708,-1.5708,RShoulder,0,-1,0,1.2,6.3,-2.79,2.79,,,,,,,,
RForearm,-0.00451109742739187,0.015874999998887,0.00232500000771064,0,0,0,8.51234221885612E-08,2.40644845183368E-15,-5.27146857560122E-19,-2.53201239416612E-28,3.18141465089577E-15,3.72235843526948E-25,2.40644845183368E-15,0,0,0,0,0,0,package://NUBIV4/meshes/RForearm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBIV4/meshes/RForearm.STL,,DSR-0101-11,Origin_RElbow_pitch2,Axis16,RElbow_pitch,revolute,-0.067878,0.0016,0,-1.5708,0,0,RHumerus,0,-1,0,1.2,6.3,-2.79,2.79,,,,,,,,
LShoulder,-0.00131251793049279,-0.00856617075058032,-7.45284087222409E-09,0,0,0,0.00373121799749922,4.74187710433775E-07,-9.74216438686639E-08,-4.78925256868171E-13,1.03498981091377E-06,-6.25540013129958E-14,1.16229791550356E-06,0,0,0,0,0,0,package://NUBIV4/meshes/LShoulder.STL,0.286274509803922,0.662745098039216,0.329411764705882,1,0,0,0,0,0,0,package://NUBIV4/meshes/LShoulder.STL,,DRB-0009-3,Origin_LShoulder_pitch2,Axis17,LShoulder_pitch,revolute,0.036528,0.070779,5E-05,0,-1.5622,3.1416,chest,0,-1,0,1.2,6.3,-2.79,2.79,,,,,,,,
LHumerus,-0.0474049058467981,0.00145882683656838,-0.000615197606809698,0,0,0,0.00754332256882732,1.35058863483034E-06,-9.12738294217045E-14,-9.74140049944188E-08,1.32836079504817E-06,-4.50231975295122E-13,6.41161104802831E-07,0,0,0,0,0,0,package://NUBIV4/meshes/LHumerus.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBIV4/meshes/LHumerus.STL,,DSR-0101-10;DRJ-0001-19;DRJ-0001-18;DRJ-0001-20;DRB-0004-3;DRB-0004-4;DRB-0009-5;DRJ-0001-21,Origin_LShoulder_roll2,Axis18,LShoulder_roll,revolute,0,-0.0215,0,1.5708,-1.5708,0,LShoulder,0,-1,0,1.2,6.3,-2.79,2.79,,,,,,,,
LForearm,-0.00451109742745594,0.0159250000002262,0.00232499999843686,0,0,0,8.51234221885626E-08,2.40644845183375E-15,-5.27146860709674E-19,5.45808546239343E-29,3.18141465089579E-15,-8.02412794930831E-26,2.40644845183375E-15,0,0,0,0,0,0,package://NUBIV4/meshes/LForearm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://NUBIV4/meshes/LForearm.STL,,DSR-0101-12,Origin_LElbow_pitch2,Axis19,LElbow_pitch,revolute,-0.067878,0.0015,0,1.5708,0,0,LHumerus,0,-1,0,1.2,6.3,-2.79,2.79,,,,,,,,
